Analyzer,Accuracy,Precision,Recall,Fscore
static,0.60,0.60,0.62,0.59
static+nativecalls,0.60,0.60,0.64,0.60
static+nativecalls+dynamic,0.71,0.91,0.95,0.92
static+nativecalls+dynamic+closure_compiler,0.69,0.93,0.96,0.94
static+nativecalls+dynamic+closure_compiler+wala,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+wala+npm_cg,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+wala+tajs,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+wala+tajs+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+wala+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+npm_cg,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+npm_cg+tajs,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+npm_cg+tajs+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+npm_cg+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+tajs,0.69,0.93,0.96,0.95
static+nativecalls+dynamic+closure_compiler+tajs+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+closure_compiler+acg,0.66,0.94,0.97,0.96
static+nativecalls+dynamic+wala,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+wala+npm_cg,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+wala+npm_cg+tajs,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+wala+npm_cg+tajs+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+wala+npm_cg+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+wala+tajs,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+wala+tajs+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+wala+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+npm_cg,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+npm_cg+tajs,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+npm_cg+tajs+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+npm_cg+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+tajs,0.72,0.93,0.95,0.94
static+nativecalls+dynamic+tajs+acg,0.68,0.94,0.97,0.95
static+nativecalls+dynamic+acg,0.68,0.94,0.97,0.95
static+nativecalls+closure_compiler,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+wala,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+wala+npm_cg,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+wala+npm_cg+tajs,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+wala+npm_cg+tajs+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+wala+npm_cg+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+wala+tajs,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+wala+tajs+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+wala+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+npm_cg,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+npm_cg+tajs,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+npm_cg+tajs+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+npm_cg+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+tajs,0.59,0.65,0.70,0.67
static+nativecalls+closure_compiler+tajs+acg,0.60,0.69,0.83,0.75
static+nativecalls+closure_compiler+acg,0.60,0.69,0.83,0.75
static+nativecalls+wala,0.60,0.62,0.63,0.61
static+nativecalls+wala+npm_cg,0.60,0.62,0.63,0.61
static+nativecalls+wala+npm_cg+tajs,0.60,0.62,0.63,0.61
static+nativecalls+wala+npm_cg+tajs+acg,0.61,0.68,0.80,0.73
static+nativecalls+wala+npm_cg+acg,0.61,0.68,0.80,0.73
static+nativecalls+wala+tajs,0.60,0.62,0.63,0.61
static+nativecalls+wala+tajs+acg,0.61,0.69,0.81,0.73
static+nativecalls+wala+acg,0.61,0.69,0.81,0.73
static+nativecalls+npm_cg,0.60,0.63,0.64,0.61
static+nativecalls+npm_cg+tajs,0.60,0.63,0.64,0.61
static+nativecalls+npm_cg+tajs+acg,0.61,0.69,0.81,0.73
static+nativecalls+npm_cg+acg,0.61,0.69,0.81,0.73
static+nativecalls+tajs,0.60,0.63,0.64,0.61
static+nativecalls+tajs+acg,0.61,0.69,0.81,0.73
static+nativecalls+acg,0.61,0.69,0.81,0.73
static+dynamic,0.74,0.91,0.95,0.93
static+dynamic+closure_compiler,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+wala,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+wala+npm_cg,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+wala+npm_cg+tajs,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+wala+npm_cg+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+wala+tajs,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+wala+tajs+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+wala+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+npm_cg,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+npm_cg+tajs,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+npm_cg+tajs+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+npm_cg+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+tajs,0.72,0.91,0.96,0.93
static+dynamic+closure_compiler+tajs+acg,0.69,0.91,0.96,0.94
static+dynamic+closure_compiler+acg,0.69,0.91,0.96,0.94
static+dynamic+wala,0.74,0.91,0.95,0.93
static+dynamic+wala+npm_cg,0.74,0.91,0.95,0.93
static+dynamic+wala+npm_cg+tajs,0.74,0.91,0.95,0.93
static+dynamic+wala+npm_cg+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+npm_cg+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+tajs,0.74,0.91,0.95,0.93
static+dynamic+wala+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+wala+acg,0.70,0.91,0.96,0.93
static+dynamic+npm_cg,0.74,0.91,0.95,0.93
static+dynamic+npm_cg+tajs,0.74,0.91,0.95,0.93
static+dynamic+npm_cg+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+npm_cg+acg,0.70,0.91,0.96,0.93
static+dynamic+tajs,0.74,0.91,0.95,0.93
static+dynamic+tajs+acg,0.70,0.91,0.96,0.93
static+dynamic+acg,0.70,0.91,0.96,0.93
static+closure_compiler,0.60,0.65,0.70,0.67
static+closure_compiler+wala,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+wala+npm_cg+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+npm_cg+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+wala+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+wala+acg,0.62,0.70,0.81,0.75
static+closure_compiler+npm_cg,0.60,0.65,0.70,0.67
static+closure_compiler+npm_cg+tajs,0.60,0.65,0.70,0.67
static+closure_compiler+npm_cg+tajs+acg,0.62,0.70,0.81,0.75
static+closure_compiler+npm_cg+acg,0.62,0.69,0.81,0.74
static+closure_compiler+tajs,0.60,0.64,0.70,0.66
static+closure_compiler+tajs+acg,0.62,0.69,0.81,0.74
static+closure_compiler+acg,0.62,0.69,0.81,0.74
static+wala,0.61,0.62,0.63,0.60
static+wala+npm_cg,0.61,0.62,0.63,0.60
static+wala+npm_cg+tajs,0.61,0.62,0.63,0.60
static+wala+npm_cg+tajs+acg,0.63,0.68,0.79,0.73
static+wala+npm_cg+acg,0.63,0.68,0.79,0.73
static+wala+tajs,0.61,0.62,0.63,0.60
static+wala+tajs+acg,0.63,0.68,0.79,0.73
static+wala+acg,0.62,0.67,0.79,0.72
static+npm_cg,0.60,0.60,0.61,0.59
static+npm_cg+tajs,0.60,0.60,0.61,0.59
static+npm_cg+tajs+acg,0.63,0.67,0.78,0.72
static+npm_cg+acg,0.63,0.67,0.78,0.72
static+tajs,0.60,0.59,0.61,0.58
static+tajs+acg,0.63,0.66,0.78,0.71
static+acg,0.64,0.67,0.79,0.72
nativecalls,0.48,0.47,0.01,0.01
nativecalls+dynamic,0.89,0.83,0.83,0.83
nativecalls+dynamic+closure_compiler,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala,0.78,0.87,0.90,0.88
nativecalls+dynamic+closure_compiler+wala+npm_cg,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+npm_cg+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+tajs,0.78,0.88,0.90,0.89
nativecalls+dynamic+closure_compiler+wala+tajs+acg,0.73,0.95,0.97,0.96
nativecalls+dynamic+closure_compiler+wala+acg,0.73,0.95,0.97,0.96
