Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static nativecalls,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls dynamic,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic closure_compiler,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler wala,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler wala npm_cg,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler wala npm_cg tajs,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler wala npm_cg acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler wala tajs,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler wala tajs acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler wala acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler npm_cg,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler npm_cg tajs,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler npm_cg tajs acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler npm_cg acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler tajs,774,384,234,198,390,541,354,0.7132,0.8462,0.9077,0.8758
static nativecalls dynamic closure_compiler tajs acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic closure_compiler acg,774,384,197,168,390,578,361,0.6835,0.8528,0.9256,0.8877
static nativecalls dynamic wala,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic wala npm_cg,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic wala npm_cg tajs,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic wala npm_cg tajs acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic wala npm_cg acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic wala tajs,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic wala tajs acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic wala acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic npm_cg,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic npm_cg tajs,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic npm_cg tajs acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic npm_cg acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic tajs,774,384,258,218,390,516,350,0.7339,0.8450,0.8974,0.8704
static nativecalls dynamic tajs acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls dynamic acg,774,384,215,182,390,559,357,0.6964,0.8465,0.9154,0.8796
static nativecalls closure_compiler,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler wala,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler wala npm_cg,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler wala npm_cg tajs,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler wala npm_cg tajs acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler wala npm_cg acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler wala tajs,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler wala tajs acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler wala acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler npm_cg,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler npm_cg tajs,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler npm_cg tajs acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler npm_cg acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler tajs,774,384,389,210,390,386,211,0.5439,0.5398,0.5410,0.5404
static nativecalls closure_compiler tajs acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls closure_compiler acg,774,384,293,168,390,482,265,0.5594,0.5734,0.6795,0.6219
static nativecalls wala,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls wala npm_cg,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls wala npm_cg tajs,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls wala npm_cg tajs acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls wala npm_cg acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls wala tajs,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls wala tajs acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls wala acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls npm_cg,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls npm_cg tajs,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls npm_cg tajs acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls npm_cg acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls tajs,774,384,527,264,390,247,127,0.5052,0.5009,0.3256,0.3947
static nativecalls tajs acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static nativecalls acg,774,384,325,182,390,449,247,0.5543,0.5600,0.6333,0.5944
static dynamic,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic closure_compiler,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler wala,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler wala npm_cg,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler wala npm_cg tajs,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler wala npm_cg tajs acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler wala npm_cg acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler wala tajs,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler wala tajs acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler wala acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler npm_cg,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler npm_cg tajs,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler npm_cg tajs acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler npm_cg acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler tajs,774,384,262,214,390,513,342,0.7183,0.8168,0.8769,0.8458
static dynamic closure_compiler tajs acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic closure_compiler acg,774,384,217,182,390,558,355,0.6938,0.8387,0.9103,0.8730
static dynamic wala,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic wala npm_cg,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic wala npm_cg tajs,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic wala npm_cg tajs acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic wala npm_cg acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic wala tajs,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic wala tajs acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic wala acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic npm_cg,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic npm_cg tajs,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic npm_cg tajs acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic npm_cg acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic tajs,774,384,285,233,390,489,338,0.7377,0.8175,0.8667,0.8414
static dynamic tajs acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static dynamic acg,774,384,235,196,390,539,351,0.7067,0.8340,0.9000,0.8658
static closure_compiler,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler wala,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler wala npm_cg,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler wala npm_cg tajs,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler wala npm_cg tajs acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler wala npm_cg acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler wala tajs,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler wala tajs acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler wala acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler npm_cg,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler npm_cg tajs,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler npm_cg tajs acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler npm_cg acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler tajs,774,384,421,226,390,354,195,0.5439,0.5368,0.5000,0.5178
static closure_compiler tajs acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static closure_compiler acg,774,384,328,185,390,447,247,0.5581,0.5640,0.6333,0.5967
static wala,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static wala npm_cg,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static wala npm_cg tajs,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static wala npm_cg tajs acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static wala npm_cg acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static wala tajs,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static wala tajs acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static wala acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static npm_cg,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static npm_cg tajs,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static npm_cg tajs acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static npm_cg acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static tajs,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static tajs acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
static acg,774,384,361,200,390,413,229,0.5543,0.5540,0.5872,0.5701
nativecalls,774,384,774,384,390,0,0,0.4961,0.4961,0.0000,0.0000
nativecalls dynamic,774,384,469,381,390,305,302,0.8824,0.8124,0.7744,0.7929
nativecalls dynamic closure_compiler,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler wala,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler wala npm_cg,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler wala npm_cg tajs,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler wala npm_cg tajs acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler wala npm_cg acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler wala tajs,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler wala tajs acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler wala acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler npm_cg,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler npm_cg tajs,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler npm_cg tajs acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler npm_cg acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler tajs,774,384,286,241,390,489,345,0.7571,0.8427,0.8846,0.8631
nativecalls dynamic closure_compiler tajs acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic closure_compiler acg,774,384,227,195,390,548,358,0.7145,0.8590,0.9179,0.8875
nativecalls dynamic wala,774,384,469,381,390,305,302,0.8824,0.8124,0.7744,0.7929
