Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
static nativecalls dynamic,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,127,47,20,20,80,107,80,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic wala,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,127,47,22,22,80,105,80,0.8031,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic acg,127,47,21,21,80,106,80,0.7953,1.0000,1.0000,1.0000
static nativecalls closure_compiler,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler wala,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler wala npm_cg,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler wala npm_cg tajs,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler wala npm_cg tajs acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler wala npm_cg acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler wala tajs,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler wala tajs acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler wala acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler npm_cg,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler npm_cg tajs,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler npm_cg tajs acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler npm_cg acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler tajs,127,47,33,23,80,94,70,0.7323,0.6970,0.8750,0.7759
static nativecalls closure_compiler tajs acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls closure_compiler acg,127,47,29,21,80,98,72,0.7323,0.7241,0.9000,0.8025
static nativecalls wala,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
static nativecalls wala npm_cg,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
static nativecalls wala npm_cg tajs,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
static nativecalls wala npm_cg tajs acg,127,47,30,22,80,97,72,0.7402,0.7333,0.9000,0.8082
static nativecalls wala npm_cg acg,127,47,30,22,80,97,72,0.7402,0.7333,0.9000,0.8082
static nativecalls wala tajs,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
static nativecalls wala tajs acg,127,47,30,22,80,97,72,0.7402,0.7333,0.9000,0.8082
static nativecalls wala acg,127,47,30,22,80,97,72,0.7402,0.7333,0.9000,0.8082
static nativecalls npm_cg,127,47,42,25,80,85,63,0.6929,0.5952,0.7875,0.6780
