Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,472,208,174,106,264,298,196,0.6398,0.6092,0.7424,0.6692
static nativecalls,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls dynamic,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic closure_compiler,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler wala,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler wala npm_cg,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler wala npm_cg tajs,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler wala npm_cg acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler wala tajs,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler wala tajs acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler wala acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler npm_cg,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler npm_cg tajs,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler npm_cg tajs acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler npm_cg acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler tajs,472,208,103,75,264,370,236,0.6589,0.7282,0.8939,0.8026
static nativecalls dynamic closure_compiler tajs acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic closure_compiler acg,472,208,62,47,264,411,249,0.6271,0.7581,0.9432,0.8406
static nativecalls dynamic wala,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic wala npm_cg,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic wala npm_cg tajs,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic wala npm_cg tajs acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic wala npm_cg acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic wala tajs,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic wala tajs acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic wala acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic npm_cg,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic npm_cg tajs,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic npm_cg tajs acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic npm_cg acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic tajs,472,208,129,93,264,343,228,0.6801,0.7209,0.8636,0.7859
static nativecalls dynamic tajs acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls dynamic acg,472,208,79,57,264,393,242,0.6335,0.7215,0.9167,0.8075
static nativecalls closure_compiler,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler wala,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler wala npm_cg,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler wala npm_cg tajs,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler wala npm_cg tajs acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler wala npm_cg acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler wala tajs,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler wala tajs acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler wala acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler npm_cg,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler npm_cg tajs,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler npm_cg tajs acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler npm_cg acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler tajs,472,208,119,76,264,354,221,0.6292,0.6387,0.8371,0.7245
static nativecalls closure_compiler tajs acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls closure_compiler acg,472,208,70,47,264,403,241,0.6102,0.6714,0.9129,0.7738
static nativecalls wala,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls wala npm_cg,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls wala npm_cg tajs,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls wala npm_cg tajs acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls wala npm_cg acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls wala tajs,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls wala tajs acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls wala acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls npm_cg,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls npm_cg tajs,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls npm_cg tajs acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls npm_cg acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls tajs,472,208,158,97,264,314,203,0.6356,0.6139,0.7689,0.6827
static nativecalls tajs acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static nativecalls acg,472,208,89,57,264,383,232,0.6123,0.6404,0.8788,0.7409
static dynamic,472,208,141,104,264,331,227,0.7013,0.7376,0.8598,0.7940
static dynamic closure_compiler,472,208,113,84,264,360,235,0.6758,0.7434,0.8902,0.8102
static dynamic closure_compiler wala,472,208,113,84,264,360,235,0.6758,0.7434,0.8902,0.8102
static dynamic closure_compiler wala npm_cg,472,208,113,84,264,360,235,0.6758,0.7434,0.8902,0.8102
