Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,357,111,264,102,246,93,84,0.5210,0.3864,0.3415,0.3625
static nativecalls,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls dynamic,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic closure_compiler,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler wala,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler wala npm_cg,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler wala npm_cg tajs,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler wala npm_cg acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler wala tajs,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler wala tajs acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler wala acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler npm_cg,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler npm_cg tajs,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler npm_cg tajs acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler npm_cg acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler tajs,357,111,68,61,246,291,239,0.8403,0.8971,0.9715,0.9328
static nativecalls dynamic closure_compiler tajs acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic closure_compiler acg,357,111,63,56,246,296,239,0.8263,0.8889,0.9715,0.9284
static nativecalls dynamic wala,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic wala npm_cg,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic wala npm_cg tajs,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic wala npm_cg tajs acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic wala npm_cg acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic wala tajs,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic wala tajs acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic wala acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic npm_cg,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic npm_cg tajs,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic npm_cg tajs acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic npm_cg acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic tajs,357,111,71,64,246,286,239,0.8487,0.9014,0.9715,0.9352
static nativecalls dynamic tajs acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls dynamic acg,357,111,65,58,246,292,239,0.8319,0.8923,0.9715,0.9302
static nativecalls closure_compiler,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala npm_cg,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala npm_cg tajs,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala npm_cg tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler wala npm_cg acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler wala tajs,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
