Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1105,646,318,254,459,787,395,0.5873,0.7987,0.8606,0.8285
static nativecalls,1105,646,308,246,459,797,397,0.5819,0.7987,0.8649,0.8305
static nativecalls dynamic,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,1105,646,178,178,459,928,459,0.5765,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,1105,646,161,161,459,945,459,0.5611,1.0000,1.0000,1.0000
static nativecalls dynamic wala,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,1105,646,224,224,459,881,459,0.6181,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls dynamic acg,1105,646,187,187,459,918,459,0.5846,1.0000,1.0000,1.0000
static nativecalls closure_compiler,1105,646,224,190,459,882,425,0.5566,0.8482,0.9259,0.8854
static nativecalls closure_compiler wala,1105,646,224,190,459,882,425,0.5566,0.8482,0.9259,0.8854
static nativecalls closure_compiler wala npm_cg,1105,646,224,190,459,882,425,0.5566,0.8482,0.9259,0.8854
static nativecalls closure_compiler wala npm_cg tajs,1105,646,224,190,459,882,425,0.5566,0.8482,0.9259,0.8854
static nativecalls closure_compiler wala npm_cg tajs acg,1105,646,197,171,459,909,433,0.5466,0.8680,0.9434,0.9041
