Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls dynamic,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,591,416,160,160,175,431,175,0.5668,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,591,416,105,105,175,486,175,0.4738,1.0000,1.0000,1.0000
static nativecalls dynamic wala,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,591,416,210,210,175,381,175,0.6514,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls dynamic acg,591,416,131,131,175,460,175,0.5178,1.0000,1.0000,1.0000
static nativecalls closure_compiler,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler wala,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler wala npm_cg,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler wala npm_cg tajs,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler wala npm_cg tajs acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler wala npm_cg acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler wala tajs,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler wala tajs acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler wala acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler npm_cg,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler npm_cg tajs,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler npm_cg tajs acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler npm_cg acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler tajs,591,416,180,165,175,411,160,0.5499,0.9167,0.9143,0.9155
static nativecalls closure_compiler tajs acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls closure_compiler acg,591,416,112,105,175,479,168,0.4619,0.9375,0.9600,0.9486
static nativecalls wala,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls wala npm_cg,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls wala npm_cg tajs,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls wala npm_cg tajs acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls wala npm_cg acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls wala tajs,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls wala tajs acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls wala acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls npm_cg,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls npm_cg tajs,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls npm_cg tajs acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls npm_cg acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls tajs,591,416,243,218,175,348,150,0.6227,0.8971,0.8571,0.8767
static nativecalls tajs acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static nativecalls acg,591,416,142,131,175,449,164,0.4992,0.9225,0.9371,0.9298
static dynamic,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic closure_compiler,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler wala,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler wala npm_cg,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler wala npm_cg tajs,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler wala npm_cg tajs acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler wala npm_cg acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler wala tajs,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler wala tajs acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler wala acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler npm_cg,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler npm_cg tajs,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler npm_cg tajs acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler npm_cg acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler tajs,591,416,164,163,175,427,174,0.5702,0.9939,0.9943,0.9941
static dynamic closure_compiler tajs acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic closure_compiler acg,591,416,109,108,175,482,174,0.4772,0.9908,0.9943,0.9926
static dynamic wala,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic wala npm_cg,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic wala npm_cg tajs,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic wala npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic wala npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic wala tajs,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic wala tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic wala acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic npm_cg,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic npm_cg tajs,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic tajs,591,416,214,213,175,377,174,0.6548,0.9953,0.9943,0.9948
static dynamic tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static dynamic acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static closure_compiler,591,416,184,168,175,407,159,0.5533,0.9130,0.9086,0.9108
static closure_compiler wala,591,416,184,168,175,407,159,0.5533,0.9130,0.9086,0.9108
static closure_compiler wala npm_cg,591,416,184,168,175,407,159,0.5533,0.9130,0.9086,0.9108
static closure_compiler wala npm_cg tajs,591,416,184,168,175,407,159,0.5533,0.9130,0.9086,0.9108
static closure_compiler wala npm_cg tajs acg,591,416,116,108,175,475,167,0.4653,0.9310,0.9543,0.9425
static closure_compiler wala npm_cg acg,591,416,116,108,175,475,167,0.4653,0.9310,0.9543,0.9425
static closure_compiler wala tajs,591,416,184,168,175,407,159,0.5533,0.9130,0.9086,0.9108
