Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,834,535,333,242,299,501,208,0.5396,0.7267,0.6957,0.7109
static nativecalls,834,535,326,236,299,508,209,0.5336,0.7239,0.6990,0.7112
static nativecalls dynamic,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,834,535,197,197,299,638,299,0.5947,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,834,535,183,183,299,652,299,0.5779,1.0000,1.0000,1.0000
static nativecalls dynamic wala,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,834,535,222,222,299,612,299,0.6247,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls dynamic acg,834,535,201,201,299,633,299,0.5995,1.0000,1.0000,1.0000
static nativecalls closure_compiler,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
static nativecalls closure_compiler wala,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
static nativecalls closure_compiler wala npm_cg,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
static nativecalls closure_compiler wala npm_cg tajs,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
static nativecalls closure_compiler wala npm_cg tajs acg,834,535,233,183,299,602,249,0.5180,0.7854,0.8328,0.8084
static nativecalls closure_compiler wala npm_cg acg,834,535,233,183,299,602,249,0.5180,0.7854,0.8328,0.8084
static nativecalls closure_compiler wala tajs,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
static nativecalls closure_compiler wala tajs acg,834,535,233,183,299,602,249,0.5180,0.7854,0.8328,0.8084
static nativecalls closure_compiler wala acg,834,535,233,183,299,602,249,0.5180,0.7854,0.8328,0.8084
static nativecalls closure_compiler npm_cg,834,535,270,202,299,565,231,0.5192,0.7481,0.7726,0.7602
