Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static nativecalls,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls dynamic,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler wala,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler wala npm_cg,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler wala npm_cg tajs,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler wala npm_cg acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler wala tajs,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler wala tajs acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler wala acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler npm_cg,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler npm_cg tajs,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler npm_cg tajs acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler npm_cg acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler tajs,1074,554,211,208,520,864,517,0.6750,0.9858,0.9942,0.9900
static nativecalls dynamic closure_compiler tajs acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic closure_compiler acg,1074,554,172,170,520,903,518,0.6406,0.9884,0.9962,0.9922
static nativecalls dynamic wala,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic wala npm_cg,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic wala npm_cg tajs,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic wala npm_cg tajs acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic wala npm_cg acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic wala tajs,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic wala tajs acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic wala acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic npm_cg,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic npm_cg tajs,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic npm_cg tajs acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic npm_cg acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic tajs,1074,554,212,209,520,862,517,0.6760,0.9858,0.9942,0.9900
static nativecalls dynamic tajs acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls dynamic acg,1074,554,173,171,520,901,518,0.6415,0.9884,0.9962,0.9923
static nativecalls closure_compiler,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala npm_cg acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler npm_cg,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler npm_cg tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler npm_cg tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler npm_cg acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls wala,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala npm_cg acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls npm_cg,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls npm_cg tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls npm_cg tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls npm_cg acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static dynamic,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic closure_compiler,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler wala,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler wala npm_cg,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler wala npm_cg tajs,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler wala npm_cg tajs acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler wala npm_cg acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler wala tajs,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler wala tajs acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler wala acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler npm_cg,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler npm_cg tajs,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler npm_cg tajs acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler npm_cg acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler tajs,1074,554,250,247,520,825,517,0.7114,0.9880,0.9942,0.9911
static dynamic closure_compiler tajs acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic closure_compiler acg,1074,554,193,191,520,882,518,0.6601,0.9896,0.9962,0.9929
static dynamic wala,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic wala npm_cg,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic wala npm_cg tajs,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic wala npm_cg tajs acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic wala npm_cg acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic wala tajs,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic wala tajs acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic wala acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic npm_cg,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic npm_cg tajs,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic npm_cg tajs acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic npm_cg acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic tajs,1074,554,251,248,520,823,517,0.7123,0.9880,0.9942,0.9911
static dynamic tajs acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static dynamic acg,1074,554,194,192,520,880,518,0.6611,0.9897,0.9962,0.9929
static closure_compiler,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala npm_cg acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler npm_cg,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler npm_cg tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler npm_cg tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler npm_cg acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static wala,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala npm_cg,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala npm_cg tajs,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
