Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,256,154,144,95,102,112,53,0.5781,0.6597,0.5196,0.5813
static nativecalls,256,154,119,84,102,137,67,0.5898,0.7059,0.6569,0.6805
static nativecalls dynamic,256,154,69,69,102,187,102,0.6680,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,256,154,64,64,102,193,102,0.6484,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,256,154,46,46,102,211,102,0.5781,1.0000,1.0000,1.0000
static nativecalls dynamic wala,256,154,69,69,102,187,102,0.6680,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,256,154,69,69,102,187,102,0.6680,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,256,154,69,69,102,187,102,0.6680,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,256,154,51,51,102,205,102,0.5977,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,256,154,51,51,102,205,102,0.5977,1.0000,1.0000,1.0000
