Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,39,44,19,88,83,63,0.6457,0.4318,0.7159,0.5387
static nativecalls,127,39,42,18,88,85,64,0.6457,0.4286,0.7273,0.5393
static nativecalls dynamic,127,39,13,13,88,114,88,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,127,39,11,11,88,116,88,0.7795,1.0000,1.0000,1.0000
static nativecalls dynamic wala,127,39,13,13,88,114,88,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,127,39,13,13,88,114,88,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,127,39,13,13,88,114,88,0.7953,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,127,39,12,12,88,115,88,0.7874,1.0000,1.0000,1.0000
