Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls,869,557,310,222,312,559,224,0.5132,0.7161,0.7179,0.7170
static nativecalls dynamic,869,557,208,206,312,661,310,0.5938,0.9904,0.9936,0.9920
static nativecalls dynamic closure_compiler,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,869,557,190,190,312,680,312,0.5777,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,869,557,173,173,312,697,312,0.5581,1.0000,1.0000,1.0000
