Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static nativecalls,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls dynamic,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,128,52,22,22,76,106,76,0.7656,1.0000,1.0000,1.0000
static nativecalls dynamic wala,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,128,52,24,24,76,104,76,0.7813,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls dynamic acg,128,52,23,23,76,105,76,0.7734,1.0000,1.0000,1.0000
static nativecalls closure_compiler,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala npm_cg acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler npm_cg,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler npm_cg tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler npm_cg tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler npm_cg acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls wala,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala npm_cg acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls npm_cg,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls npm_cg tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls npm_cg tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls npm_cg acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static dynamic,128,52,29,27,76,99,74,0.7891,0.9310,0.9737,0.9519
static dynamic closure_compiler,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala npm_cg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala npm_cg tajs,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala npm_cg tajs acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler wala npm_cg acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler wala tajs,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala tajs acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler wala acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler npm_cg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler npm_cg tajs,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler npm_cg tajs acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler npm_cg acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler tajs,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler tajs acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic closure_compiler acg,128,52,27,25,76,101,74,0.7734,0.9259,0.9737,0.9492
static dynamic wala,128,52,29,27,76,99,74,0.7891,0.9310,0.9737,0.9519
static dynamic wala npm_cg,128,52,29,27,76,99,74,0.7891,0.9310,0.9737,0.9519
static dynamic wala npm_cg tajs,128,52,29,27,76,99,74,0.7891,0.9310,0.9737,0.9519
static dynamic wala npm_cg tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala npm_cg acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala tajs,128,52,29,27,76,99,74,0.7891,0.9310,0.9737,0.9519
