Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
static nativecalls,981,678,421,297,303,560,179,0.4852,0.7055,0.5908,0.6430
static nativecalls dynamic,981,678,342,289,303,639,250,0.5494,0.8450,0.8251,0.8349
static nativecalls dynamic closure_compiler,981,678,276,210,303,706,237,0.4557,0.7609,0.7822,0.7714
static nativecalls dynamic closure_compiler wala,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler wala npm_cg,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler wala npm_cg tajs,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,981,678,194,161,303,788,270,0.4393,0.8299,0.8911,0.8594
static nativecalls dynamic closure_compiler wala npm_cg acg,981,678,194,161,303,788,270,0.4393,0.8299,0.8911,0.8594
static nativecalls dynamic closure_compiler wala tajs,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler wala tajs acg,981,678,209,161,303,773,255,0.4241,0.7703,0.8416,0.8044
static nativecalls dynamic closure_compiler wala acg,981,678,194,161,303,788,270,0.4393,0.8299,0.8911,0.8594
static nativecalls dynamic closure_compiler npm_cg,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler npm_cg tajs,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler npm_cg tajs acg,981,678,194,161,303,788,270,0.4393,0.8299,0.8911,0.8594
static nativecalls dynamic closure_compiler npm_cg acg,981,678,194,161,303,788,270,0.4393,0.8299,0.8911,0.8594
static nativecalls dynamic closure_compiler tajs,981,678,249,207,303,733,261,0.4771,0.8313,0.8614,0.8461
static nativecalls dynamic closure_compiler tajs acg,981,678,197,161,303,785,267,0.4363,0.8173,0.8812,0.8480
static nativecalls dynamic closure_compiler acg,981,678,195,161,303,787,269,0.4383,0.8256,0.8878,0.8556
static nativecalls dynamic wala,981,678,342,289,303,639,250,0.5494,0.8450,0.8251,0.8349
static nativecalls dynamic wala npm_cg,981,678,356,292,303,625,239,0.5413,0.8202,0.7888,0.8042
static nativecalls dynamic wala npm_cg tajs,981,678,340,289,303,641,252,0.5515,0.8500,0.8317,0.8407
static nativecalls dynamic wala npm_cg tajs acg,981,678,217,183,303,764,269,0.4608,0.8433,0.8878,0.8650
static nativecalls dynamic wala npm_cg acg,981,678,217,183,303,764,269,0.4608,0.8433,0.8878,0.8650
static nativecalls dynamic wala tajs,981,678,342,289,303,639,250,0.5494,0.8450,0.8251,0.8349
static nativecalls dynamic wala tajs acg,981,678,217,183,303,764,269,0.4608,0.8433,0.8878,0.8650
static nativecalls dynamic wala acg,981,678,217,183,303,764,269,0.4608,0.8433,0.8878,0.8650
