Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,136,84,80,69,52,56,41,0.8088,0.8625,0.7885,0.8238
static nativecalls,136,84,72,62,52,64,42,0.7647,0.8611,0.8077,0.8335
static nativecalls dynamic,136,84,60,60,52,76,52,0.8235,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,136,84,36,36,52,101,52,0.6471,1.0000,1.0000,1.0000
static nativecalls dynamic wala,136,84,60,60,52,76,52,0.8235,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,136,84,60,60,52,76,52,0.8235,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,136,84,60,60,52,76,52,0.8235,1.0000,1.0000,1.0000
