Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls,533,348,524,355,185,9,16,0.6961,0.6775,0.0865,0.1534
static nativecalls dynamic,533,348,270,270,185,263,185,0.8537,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,533,348,203,203,185,331,185,0.7280,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,533,348,175,175,185,359,185,0.6754,1.0000,1.0000,1.0000
static nativecalls dynamic wala,533,348,270,270,185,263,185,0.8537,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,533,348,270,270,185,263,185,0.8537,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,533,348,270,270,185,263,185,0.8537,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,533,348,185,185,185,348,185,0.6942,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,533,348,185,185,185,348,185,0.6942,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,533,348,270,270,185,263,185,0.8537,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,533,348,185,185,185,348,185,0.6942,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,533,348,185,185,185,348,185,0.6942,1.0000,1.0000,1.0000
