Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,229,108,193,106,121,36,34,0.6114,0.5492,0.2810,0.3718
static nativecalls,229,108,192,105,121,37,34,0.6070,0.5469,0.2810,0.3712
static nativecalls dynamic,229,108,51,51,121,178,121,0.7511,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,229,108,50,50,121,179,121,0.7467,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,229,108,21,21,121,208,121,0.6201,1.0000,1.0000,1.0000
static nativecalls dynamic wala,229,108,51,51,121,178,121,0.7511,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,229,108,51,51,121,178,121,0.7511,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,229,108,51,51,121,178,121,0.7511,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,229,108,22,22,121,207,121,0.6245,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,229,108,22,22,121,207,121,0.6245,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,229,108,51,51,121,178,121,0.7511,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,229,108,22,22,121,207,121,0.6245,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,229,108,22,22,121,207,121,0.6245,1.0000,1.0000,1.0000
