Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,867,462,302,192,405,565,295,0.5617,0.6358,0.7284,0.6789
static nativecalls,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls dynamic,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler wala,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler wala npm_cg,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler wala npm_cg tajs,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler wala npm_cg acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler wala tajs,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler wala tajs acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler wala acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler npm_cg,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler npm_cg tajs,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler npm_cg tajs acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler npm_cg acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler tajs,867,462,192,171,405,677,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic closure_compiler tajs acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic closure_compiler acg,867,462,153,133,405,716,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic wala,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic wala npm_cg,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic wala npm_cg tajs,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic wala npm_cg tajs acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic wala npm_cg acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic wala tajs,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic wala tajs acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic wala acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic npm_cg,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic npm_cg tajs,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic npm_cg tajs acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic npm_cg acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic tajs,867,462,192,171,405,675,384,0.6401,0.8906,0.9481,0.9185
static nativecalls dynamic tajs acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
static nativecalls dynamic acg,867,462,153,133,405,714,385,0.5975,0.8693,0.9506,0.9081
