Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,2033,1007,1438,761,1026,595,349,0.5460,0.5292,0.3402,0.4141
static nativecalls,2033,1007,1414,740,1026,619,352,0.5371,0.5233,0.3431,0.4145
static nativecalls dynamic,2033,1007,1007,670,1026,1026,689,0.6685,0.6653,0.6715,0.6684
static nativecalls dynamic closure_compiler,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala npm_cg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala npm_cg tajs,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala npm_cg acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala tajs,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala tajs acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler wala acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler npm_cg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler npm_cg tajs,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler npm_cg tajs acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler npm_cg acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler tajs,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler tajs acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic closure_compiler acg,2033,1007,979,650,1026,1054,697,0.6626,0.6639,0.6793,0.6716
static nativecalls dynamic wala,2033,1007,1007,670,1026,1026,689,0.6685,0.6653,0.6715,0.6684
static nativecalls dynamic wala npm_cg,2033,1007,1007,670,1026,1026,689,0.6685,0.6653,0.6715,0.6684
static nativecalls dynamic wala npm_cg tajs,2033,1007,1007,670,1026,1026,689,0.6685,0.6653,0.6715,0.6684
