Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls,1848,904,1240,644,944,608,348,0.5368,0.5194,0.3686,0.4312
static nativecalls dynamic,1848,904,939,599,944,909,604,0.6510,0.6379,0.6398,0.6389
static nativecalls dynamic closure_compiler,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler wala,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler wala npm_cg,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler wala npm_cg tajs,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler wala npm_cg acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler wala tajs,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler wala tajs acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler wala acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler npm_cg,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler npm_cg tajs,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler npm_cg tajs acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler npm_cg acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler tajs,1848,904,915,581,944,933,610,0.6445,0.6350,0.6462,0.6405
static nativecalls dynamic closure_compiler tajs acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic closure_compiler acg,1848,904,325,281,944,1523,900,0.6391,0.8646,0.9534,0.9068
static nativecalls dynamic wala,1848,904,939,599,944,909,604,0.6510,0.6379,0.6398,0.6389
static nativecalls dynamic wala npm_cg,1848,904,939,599,944,909,604,0.6510,0.6379,0.6398,0.6389
static nativecalls dynamic wala npm_cg tajs,1848,904,939,599,944,909,604,0.6510,0.6379,0.6398,0.6389
