Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls dynamic,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,16,4,1,1,12,15,12,0.8125,1.0000,1.0000,1.0000
