Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls dynamic,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,128,48,21,21,80,107,80,0.7891,1.0000,1.0000,1.0000
static nativecalls dynamic wala,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,128,48,23,23,80,105,80,0.8047,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls dynamic acg,128,48,22,22,80,106,80,0.7969,1.0000,1.0000,1.0000
static nativecalls closure_compiler,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler wala,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler wala npm_cg,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler wala npm_cg tajs,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler wala npm_cg tajs acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler wala npm_cg acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler wala tajs,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler wala tajs acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler wala acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler npm_cg,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler npm_cg tajs,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler npm_cg tajs acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler npm_cg acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler tajs,128,48,34,24,80,94,70,0.7344,0.7059,0.8750,0.7814
static nativecalls closure_compiler tajs acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls closure_compiler acg,128,48,30,22,80,98,72,0.7344,0.7333,0.9000,0.8082
static nativecalls wala,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls wala npm_cg,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls wala npm_cg tajs,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls wala npm_cg tajs acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls wala npm_cg acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls wala tajs,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls wala tajs acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls wala acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls npm_cg,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls npm_cg tajs,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
static nativecalls npm_cg tajs acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls npm_cg acg,128,48,31,23,80,97,72,0.7422,0.7419,0.9000,0.8134
static nativecalls tajs,128,48,43,26,80,85,63,0.6953,0.6047,0.7875,0.6841
