Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static nativecalls,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls dynamic,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,999,754,251,251,245,749,245,0.4965,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,999,754,216,216,245,784,245,0.4615,1.0000,1.0000,1.0000
static nativecalls dynamic wala,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic wala acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg tajs acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic npm_cg acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic tajs,999,754,308,308,245,691,245,0.5536,1.0000,1.0000,1.0000
static nativecalls dynamic tajs acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls dynamic acg,999,754,239,239,245,760,245,0.4845,1.0000,1.0000,1.0000
static nativecalls closure_compiler,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala npm_cg acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler npm_cg,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler npm_cg tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler npm_cg tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler npm_cg acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls wala,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls wala npm_cg,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
