Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1440,831,678,607,609,762,538,0.7951,0.8953,0.8834,0.8893
static nativecalls,1440,831,655,587,609,785,541,0.7833,0.8962,0.8883,0.8922
static nativecalls dynamic,1440,831,412,412,609,1028,609,0.7090,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala npm_cg acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala tajs acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler wala acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg tajs acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler npm_cg acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs,1440,831,358,358,609,1083,609,0.6715,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler tajs acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic closure_compiler acg,1440,831,319,319,609,1122,609,0.6444,1.0000,1.0000,1.0000
static nativecalls dynamic wala,1440,831,412,412,609,1028,609,0.7090,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg,1440,831,412,412,609,1028,609,0.7090,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs,1440,831,412,412,609,1028,609,0.7090,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg tajs acg,1440,831,338,338,609,1102,609,0.6576,1.0000,1.0000,1.0000
static nativecalls dynamic wala npm_cg acg,1440,831,338,338,609,1102,609,0.6576,1.0000,1.0000,1.0000
static nativecalls dynamic wala tajs,1440,831,412,412,609,1028,609,0.7090,1.0000,1.0000,1.0000
