Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1243,779,431,347,464,812,380,0.5849,0.8051,0.8190,0.8120
static nativecalls,1243,779,422,340,464,821,382,0.5809,0.8057,0.8233,0.8144
static nativecalls dynamic,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic closure_compiler,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler wala,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler wala npm_cg,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler wala npm_cg tajs,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler wala npm_cg acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler wala tajs,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler wala tajs acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler wala acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler npm_cg,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler npm_cg tajs,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler npm_cg tajs acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler npm_cg acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler tajs,1243,779,308,285,464,936,441,0.5841,0.9253,0.9504,0.9377
static nativecalls dynamic closure_compiler tajs acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic closure_compiler acg,1243,779,264,244,464,980,444,0.5535,0.9242,0.9569,0.9403
static nativecalls dynamic wala,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic wala npm_cg,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic wala npm_cg tajs,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic wala npm_cg tajs acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic wala npm_cg acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic wala tajs,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic wala tajs acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic wala acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic npm_cg,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic npm_cg tajs,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic npm_cg tajs acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic npm_cg acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic tajs,1243,779,351,319,464,892,432,0.6042,0.9088,0.9310,0.9198
static nativecalls dynamic tajs acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
static nativecalls dynamic acg,1243,779,298,273,464,945,439,0.5728,0.9161,0.9461,0.9309
