Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1105,431,1035,413,674,70,52,0.4208,0.3990,0.0772,0.1293
static nativecalls,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls dynamic,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic closure_compiler,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler wala,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler wala npm_cg,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler wala npm_cg tajs,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler wala npm_cg acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler wala tajs,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler wala tajs acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler wala acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler npm_cg,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler npm_cg tajs,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler npm_cg tajs acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler npm_cg acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler tajs,1105,431,274,220,674,831,620,0.7602,0.8029,0.9199,0.8574
static nativecalls dynamic closure_compiler tajs acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic closure_compiler acg,1105,431,155,131,674,950,650,0.7068,0.8452,0.9644,0.9008
static nativecalls dynamic wala,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic wala npm_cg,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic wala npm_cg tajs,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic wala npm_cg tajs acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic wala npm_cg acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic wala tajs,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic wala tajs acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic wala acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic npm_cg,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic npm_cg tajs,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic npm_cg tajs acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic npm_cg acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic tajs,1105,431,301,239,674,804,612,0.7701,0.7940,0.9080,0.8472
static nativecalls dynamic tajs acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls dynamic acg,1105,431,177,146,674,928,643,0.7140,0.8249,0.9540,0.8847
static nativecalls closure_compiler,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler wala,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler wala npm_cg,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler wala npm_cg tajs,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler wala npm_cg tajs acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler wala npm_cg acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler wala tajs,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler wala tajs acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler wala acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler npm_cg,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler npm_cg tajs,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler npm_cg tajs acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler npm_cg acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler tajs,1105,431,1020,409,674,85,63,0.4271,0.4010,0.0935,0.1516
static nativecalls closure_compiler tajs acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls closure_compiler acg,1105,431,373,139,674,732,440,0.5240,0.3727,0.6528,0.4745
static nativecalls wala,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls wala npm_cg,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls wala npm_cg tajs,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls wala npm_cg tajs acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls wala npm_cg acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls wala tajs,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls wala tajs acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls wala acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls npm_cg,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls npm_cg tajs,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls npm_cg tajs acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls npm_cg acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls tajs,1105,431,1033,413,674,72,54,0.4226,0.3998,0.0801,0.1335
static nativecalls tajs acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static nativecalls acg,1105,431,424,156,674,681,406,0.5086,0.3679,0.6024,0.4568
static dynamic,1105,431,316,249,674,789,607,0.7747,0.7880,0.9006,0.8405
static dynamic closure_compiler,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler wala,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler wala npm_cg,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler wala npm_cg tajs,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler wala npm_cg tajs acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler wala npm_cg acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler wala tajs,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler wala tajs acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler wala acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler npm_cg,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler npm_cg tajs,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler npm_cg tajs acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler npm_cg acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler tajs,1105,431,290,231,674,815,615,0.7656,0.7966,0.9125,0.8506
static dynamic closure_compiler tajs acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
static dynamic closure_compiler acg,1105,431,186,153,674,919,641,0.7186,0.8226,0.9510,0.8822
