Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,622,270,278,162,352,344,236,0.6399,0.5827,0.6705,0.6235
static nativecalls,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls dynamic,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic closure_compiler,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala npm_cg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala npm_cg tajs,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala npm_cg acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala tajs,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala tajs acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler wala acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler npm_cg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler npm_cg tajs,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler npm_cg tajs acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler npm_cg acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler tajs,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler tajs acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic closure_compiler acg,622,270,93,71,352,531,330,0.6447,0.7634,0.9375,0.8416
static nativecalls dynamic wala,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala npm_cg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala npm_cg tajs,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala npm_cg tajs acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala npm_cg acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala tajs,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala tajs acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic wala acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic npm_cg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic npm_cg tajs,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic npm_cg tajs acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic npm_cg acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic tajs,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic tajs acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls dynamic acg,622,270,119,94,352,503,327,0.6768,0.7899,0.9290,0.8538
static nativecalls closure_compiler,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala npm_cg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala npm_cg tajs,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala npm_cg tajs acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala npm_cg acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala tajs,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala tajs acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler wala acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler npm_cg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler npm_cg tajs,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler npm_cg tajs acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler npm_cg acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler tajs,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler tajs acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls closure_compiler acg,622,270,166,106,352,458,292,0.6399,0.6386,0.8295,0.7216
static nativecalls wala,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala npm_cg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala npm_cg tajs,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala npm_cg tajs acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala npm_cg acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala tajs,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala tajs acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls wala acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls npm_cg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls npm_cg tajs,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls npm_cg tajs acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls npm_cg acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls tajs,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls tajs acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static nativecalls acg,622,270,239,140,352,383,253,0.6318,0.5858,0.7188,0.6455
static dynamic,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic closure_compiler,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala npm_cg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala npm_cg tajs,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala npm_cg tajs acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala npm_cg acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala tajs,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala tajs acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler wala acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler npm_cg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler npm_cg tajs,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler npm_cg tajs acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler npm_cg acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler tajs,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler tajs acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic closure_compiler acg,622,270,124,99,352,500,327,0.6849,0.7984,0.9290,0.8587
static dynamic wala,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala npm_cg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala npm_cg tajs,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala npm_cg tajs acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala npm_cg acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala tajs,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala tajs acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic wala acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic npm_cg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic npm_cg tajs,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic npm_cg tajs acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic npm_cg acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic tajs,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
static dynamic tajs acg,622,270,148,119,352,474,323,0.7106,0.8041,0.9176,0.8571
