Analyzer,Accuracy,Precision,Recall,Fscore
static,0.60,0.60,0.62,0.59
static+nativecalls,0.60,0.60,0.62,0.59
static+nativecalls+dynamic,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+closure_compiler,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+wala,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+wala+npm_cg,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+wala+npm_cg+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+wala+tajs,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+wala+tajs+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+wala+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+npm_cg,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+npm_cg+tajs,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+npm_cg+tajs+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+npm_cg+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+tajs,0.71,0.81,0.88,0.84
static+nativecalls+dynamic+closure_compiler+tajs+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+closure_compiler+acg,0.70,0.88,0.95,0.91
static+nativecalls+dynamic+wala,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+wala+npm_cg,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+wala+npm_cg+tajs,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+wala+npm_cg+tajs+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+wala+npm_cg+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+wala+tajs,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+wala+tajs+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+wala+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+npm_cg,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+npm_cg+tajs,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+npm_cg+tajs+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+npm_cg+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+tajs,0.72,0.80,0.87,0.83
static+nativecalls+dynamic+tajs+acg,0.70,0.88,0.94,0.90
static+nativecalls+dynamic+acg,0.70,0.88,0.94,0.90
static+nativecalls+closure_compiler,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+wala,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+wala+npm_cg,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+wala+npm_cg+tajs,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+wala+npm_cg+tajs+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+wala+npm_cg+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+wala+tajs,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+wala+tajs+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+wala+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+npm_cg,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+npm_cg+tajs,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+npm_cg+tajs+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+npm_cg+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+tajs,0.60,0.61,0.65,0.62
static+nativecalls+closure_compiler+tajs+acg,0.62,0.67,0.79,0.72
static+nativecalls+closure_compiler+acg,0.62,0.67,0.79,0.72
static+nativecalls+wala,0.60,0.60,0.62,0.59
static+nativecalls+wala+npm_cg,0.60,0.60,0.62,0.59
static+nativecalls+wala+npm_cg+tajs,0.60,0.60,0.62,0.59
static+nativecalls+wala+npm_cg+tajs+acg,0.62,0.67,0.78,0.71
static+nativecalls+wala+npm_cg+acg,0.62,0.67,0.78,0.71
static+nativecalls+wala+tajs,0.60,0.60,0.62,0.59
static+nativecalls+wala+tajs+acg,0.62,0.67,0.78,0.71
static+nativecalls+wala+acg,0.62,0.67,0.78,0.71
static+nativecalls+npm_cg,0.60,0.60,0.62,0.59
static+nativecalls+npm_cg+tajs,0.60,0.60,0.62,0.59
static+nativecalls+npm_cg+tajs+acg,0.62,0.67,0.78,0.71
static+nativecalls+npm_cg+acg,0.62,0.67,0.78,0.71
static+nativecalls+tajs,0.60,0.60,0.62,0.59
static+nativecalls+tajs+acg,0.62,0.67,0.78,0.71
static+nativecalls+acg,0.62,0.67,0.78,0.71
static+dynamic,0.72,0.80,0.87,0.83
static+dynamic+closure_compiler,0.71,0.81,0.88,0.84
static+dynamic+closure_compiler+wala,0.71,0.81,0.88,0.84
static+dynamic+closure_compiler+wala+npm_cg,0.71,0.81,0.88,0.84
static+dynamic+closure_compiler+wala+npm_cg+tajs,0.71,0.81,0.88,0.84
static+dynamic+closure_compiler+wala+npm_cg+tajs+acg,0.70,0.88,0.95,0.91
static+dynamic+closure_compiler+wala+npm_cg+acg,0.70,0.88,0.95,0.91
static+dynamic+closure_compiler+wala+tajs,0.71,0.81,0.88,0.84
