Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static nativecalls,774,384,538,268,390,236,120,0.5013,0.4981,0.3077,0.3804
static nativecalls dynamic,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic closure_compiler,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler wala,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler wala npm_cg,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler wala npm_cg tajs,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler wala npm_cg acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler wala tajs,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler wala tajs acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler wala acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler npm_cg,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler npm_cg tajs,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler npm_cg tajs acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler npm_cg acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler tajs,774,384,281,229,390,494,338,0.7326,0.8149,0.8667,0.8400
static nativecalls dynamic closure_compiler tajs acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic closure_compiler acg,774,384,225,188,390,550,353,0.6990,0.8356,0.9051,0.8690
static nativecalls dynamic wala,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic wala npm_cg,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic wala npm_cg tajs,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic wala npm_cg tajs acg,774,384,244,203,390,530,349,0.7132,0.8320,0.8949,0.8623
static nativecalls dynamic wala npm_cg acg,774,384,244,203,390,530,349,0.7132,0.8320,0.8949,0.8623
static nativecalls dynamic wala tajs,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic wala tajs acg,774,384,244,203,390,530,349,0.7132,0.8320,0.8949,0.8623
static nativecalls dynamic wala acg,774,384,244,203,390,530,349,0.7132,0.8320,0.8949,0.8623
static nativecalls dynamic npm_cg,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
static nativecalls dynamic npm_cg tajs,774,384,333,268,390,441,325,0.7661,0.8048,0.8333,0.8188
