Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls dynamic,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler wala,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler wala npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler wala npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler wala npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler wala tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler wala tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler wala acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic closure_compiler tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic closure_compiler acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic wala,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic wala npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic wala npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic wala npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic wala npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic wala tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic wala tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic wala acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static nativecalls dynamic tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls dynamic acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static nativecalls closure_compiler,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler wala,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler wala npm_cg,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler wala npm_cg tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler wala npm_cg tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler wala npm_cg acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler wala tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler wala tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler wala acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler npm_cg,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler npm_cg tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler npm_cg tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler npm_cg acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls closure_compiler tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls closure_compiler acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls wala,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls wala npm_cg,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls wala npm_cg tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls wala npm_cg tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls wala npm_cg acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls wala tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls wala tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls wala acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls npm_cg,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls npm_cg tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls npm_cg tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls npm_cg acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls tajs,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
static nativecalls tajs acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static nativecalls acg,127,47,35,24,80,92,69,0.7323,0.6857,0.8625,0.7640
static dynamic,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler wala,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler wala npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler wala npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler wala npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler wala npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler wala tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler wala tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler wala acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic closure_compiler tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic closure_compiler acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic wala,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic wala npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic wala npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic wala npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic wala npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic wala tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic wala tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic wala acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic npm_cg,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic npm_cg tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic npm_cg tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic npm_cg acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic tajs,127,47,33,26,80,94,73,0.7795,0.7879,0.9125,0.8456
static dynamic tajs acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static dynamic acg,127,47,26,24,80,101,78,0.8031,0.9231,0.9750,0.9483
static closure_compiler,127,47,44,26,80,83,62,0.6929,0.5909,0.7750,0.6705
