Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,357,111,264,102,246,93,84,0.5210,0.3864,0.3415,0.3625
static nativecalls,357,111,264,102,246,93,84,0.5210,0.3864,0.3415,0.3625
static nativecalls dynamic,357,111,126,102,246,231,222,0.9076,0.8095,0.9024,0.8535
static nativecalls dynamic closure_compiler,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler wala,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler wala npm_cg,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler wala npm_cg tajs,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler wala npm_cg acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler wala tajs,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler wala tajs acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler wala acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler npm_cg,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler npm_cg tajs,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler npm_cg tajs acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler npm_cg acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler tajs,357,111,115,96,246,244,227,0.9048,0.8348,0.9228,0.8766
static nativecalls dynamic closure_compiler tajs acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic closure_compiler acg,357,111,80,70,246,279,236,0.8571,0.8750,0.9593,0.9152
static nativecalls dynamic wala,357,111,126,102,246,231,222,0.9076,0.8095,0.9024,0.8535
static nativecalls dynamic wala npm_cg,357,111,126,102,246,231,222,0.9076,0.8095,0.9024,0.8535
static nativecalls dynamic wala npm_cg tajs,357,111,126,102,246,231,222,0.9076,0.8095,0.9024,0.8535
