Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,950,541,285,217,409,665,341,0.5874,0.7614,0.8337,0.7959
static nativecalls,950,541,285,217,409,665,341,0.5874,0.7614,0.8337,0.7959
static nativecalls dynamic,950,541,256,217,409,694,370,0.6179,0.8477,0.9046,0.8752
static nativecalls dynamic closure_compiler,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler wala,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler wala npm_cg,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler wala npm_cg tajs,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler wala npm_cg acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler wala tajs,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler wala tajs acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler wala acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler npm_cg,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler npm_cg tajs,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler npm_cg tajs acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler npm_cg acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
static nativecalls dynamic closure_compiler tajs,950,541,233,204,409,718,380,0.6147,0.8755,0.9291,0.9015
static nativecalls dynamic closure_compiler tajs acg,950,541,210,185,409,741,384,0.5989,0.8810,0.9389,0.9090
