Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static nativecalls,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static nativecalls dynamic,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler wala,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler wala npm_cg,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler wala npm_cg tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler wala npm_cg acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler wala tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler wala tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler wala acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler npm_cg,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler npm_cg tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler npm_cg acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic closure_compiler tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic closure_compiler acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic wala,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic wala npm_cg,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic wala npm_cg tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
static nativecalls dynamic wala npm_cg tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic wala npm_cg acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static nativecalls dynamic wala tajs,127,39,24,17,88,103,81,0.7717,0.7083,0.9205,0.8006
