Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls dynamic,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler wala,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler wala npm_cg,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler wala npm_cg tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler wala npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler wala tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler wala tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler wala acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler npm_cg,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler npm_cg tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic closure_compiler tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic closure_compiler acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic wala,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic wala npm_cg,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic wala npm_cg tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic wala npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic wala npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic wala tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic wala tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic wala acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic npm_cg,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic npm_cg tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic npm_cg tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic npm_cg acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic tajs,591,416,225,219,175,366,169,0.6565,0.9733,0.9657,0.9695
static nativecalls dynamic tajs acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls dynamic acg,591,416,135,134,175,456,174,0.5212,0.9926,0.9943,0.9934
static nativecalls closure_compiler,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls closure_compiler wala,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls closure_compiler wala npm_cg,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls closure_compiler wala npm_cg tajs,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls closure_compiler wala npm_cg tajs acg,591,416,146,134,175,445,163,0.5025,0.9178,0.9314,0.9246
static nativecalls closure_compiler wala npm_cg acg,591,416,146,134,175,445,163,0.5025,0.9178,0.9314,0.9246
static nativecalls closure_compiler wala tajs,591,416,244,219,175,347,150,0.6244,0.8975,0.8571,0.8769
static nativecalls closure_compiler wala tajs acg,591,416,146,134,175,445,163,0.5025,0.9178,0.9314,0.9246
