Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,834,535,333,242,299,501,208,0.5396,0.7267,0.6957,0.7109
static nativecalls,834,535,333,242,299,501,208,0.5396,0.7267,0.6957,0.7109
static nativecalls dynamic,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic closure_compiler,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler wala,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler wala npm_cg,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler wala npm_cg tajs,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler wala npm_cg acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler wala tajs,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler wala tajs acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler wala acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler npm_cg,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler npm_cg tajs,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler npm_cg tajs acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler npm_cg acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler tajs,834,535,213,212,299,622,298,0.6115,0.9953,0.9967,0.9960
static nativecalls dynamic closure_compiler tajs acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic closure_compiler acg,834,535,194,193,299,641,298,0.5887,0.9948,0.9967,0.9957
static nativecalls dynamic wala,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic wala npm_cg,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic wala npm_cg tajs,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic wala npm_cg tajs acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic wala npm_cg acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic wala tajs,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic wala tajs acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic wala acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic npm_cg,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic npm_cg tajs,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic npm_cg tajs acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic npm_cg acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
static nativecalls dynamic tajs,834,535,245,242,299,589,296,0.6451,0.9878,0.9900,0.9889
static nativecalls dynamic tajs acg,834,535,208,207,299,626,298,0.6055,0.9952,0.9967,0.9959
