Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static nativecalls,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static nativecalls dynamic,1074,554,288,280,520,786,512,0.7374,0.9722,0.9846,0.9784
static nativecalls dynamic closure_compiler,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler wala,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler wala npm_cg,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler wala npm_cg tajs,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
static nativecalls dynamic closure_compiler wala npm_cg acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
static nativecalls dynamic closure_compiler wala tajs,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler wala tajs acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
static nativecalls dynamic closure_compiler wala acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
static nativecalls dynamic closure_compiler npm_cg,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler npm_cg tajs,1074,554,282,279,520,793,517,0.7412,0.9894,0.9942,0.9918
static nativecalls dynamic closure_compiler npm_cg tajs acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
static nativecalls dynamic closure_compiler npm_cg acg,1074,554,198,196,520,877,518,0.6648,0.9899,0.9962,0.9930
