Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls dynamic,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler wala,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler wala npm_cg,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler wala npm_cg tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler wala npm_cg acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler wala tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler wala tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler wala acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler npm_cg,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler npm_cg tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler npm_cg tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler npm_cg acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic closure_compiler tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic closure_compiler acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic wala,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic wala npm_cg,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic wala npm_cg tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic wala npm_cg tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic wala npm_cg acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic wala tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic wala tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic wala acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic npm_cg,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic npm_cg tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic npm_cg tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic npm_cg acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic tajs,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static nativecalls dynamic tajs acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls dynamic acg,20,5,5,4,15,15,14,0.9000,0.8000,0.9333,0.8615
static nativecalls closure_compiler,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler wala,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler wala npm_cg,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler wala npm_cg tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler wala npm_cg tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler wala npm_cg acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler wala tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler wala tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler wala acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler npm_cg,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler npm_cg tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler npm_cg tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler npm_cg acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls closure_compiler tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls closure_compiler acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls wala,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls wala npm_cg,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls wala npm_cg tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls wala npm_cg tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls wala npm_cg acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls wala tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls wala tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls wala acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls npm_cg,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls npm_cg tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls npm_cg tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls npm_cg acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls tajs,20,5,11,4,15,9,8,0.6000,0.3636,0.5333,0.4324
static nativecalls tajs acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static nativecalls acg,20,5,6,4,15,14,13,0.8500,0.6667,0.8667,0.7536
static dynamic,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static dynamic closure_compiler,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static dynamic closure_compiler wala,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
static dynamic closure_compiler wala npm_cg,20,5,10,4,15,10,9,0.6500,0.4000,0.6000,0.4800
