Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,256,154,144,95,102,112,53,0.5781,0.6597,0.5196,0.5813
static nativecalls,256,154,143,95,102,113,54,0.5820,0.6643,0.5294,0.5892
static nativecalls dynamic,256,154,100,95,102,156,97,0.7500,0.9500,0.9510,0.9505
static nativecalls dynamic closure_compiler,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler wala,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler wala npm_cg,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler wala npm_cg tajs,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler wala npm_cg acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler wala tajs,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler wala tajs acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler wala acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler npm_cg,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler npm_cg tajs,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler npm_cg tajs acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler npm_cg acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler tajs,256,154,93,92,102,164,101,0.7539,0.9892,0.9902,0.9897
static nativecalls dynamic closure_compiler tajs acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic closure_compiler acg,256,154,67,66,102,190,101,0.6523,0.9851,0.9902,0.9876
static nativecalls dynamic wala,256,154,100,95,102,156,97,0.7500,0.9500,0.9510,0.9505
static nativecalls dynamic wala npm_cg,256,154,100,95,102,156,97,0.7500,0.9500,0.9510,0.9505
static nativecalls dynamic wala npm_cg tajs,256,154,100,95,102,156,97,0.7500,0.9500,0.9510,0.9505
static nativecalls dynamic wala npm_cg tajs acg,256,154,69,68,102,187,101,0.6602,0.9855,0.9902,0.9878
static nativecalls dynamic wala npm_cg acg,256,154,69,68,102,187,101,0.6602,0.9855,0.9902,0.9878
static nativecalls dynamic wala tajs,256,154,100,95,102,156,97,0.7500,0.9500,0.9510,0.9505
static nativecalls dynamic wala tajs acg,256,154,69,68,102,187,101,0.6602,0.9855,0.9902,0.9878
static nativecalls dynamic wala acg,256,154,69,68,102,187,101,0.6602,0.9855,0.9902,0.9878
