Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,39,44,19,88,83,63,0.6457,0.4318,0.7159,0.5387
static nativecalls,127,39,44,19,88,83,63,0.6457,0.4318,0.7159,0.5387
static nativecalls dynamic,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler wala,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler wala npm_cg,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler wala npm_cg tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler wala npm_cg acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler wala tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler wala tajs acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler wala acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler npm_cg,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler npm_cg tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler npm_cg acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic closure_compiler tajs acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic closure_compiler acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic wala,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic wala npm_cg,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic wala npm_cg tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
static nativecalls dynamic wala npm_cg tajs acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic wala npm_cg acg,127,39,18,17,88,109,87,0.8189,0.9444,0.9886,0.9660
static nativecalls dynamic wala tajs,127,39,25,19,88,102,82,0.7953,0.7600,0.9318,0.8372
