Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls dynamic,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic closure_compiler,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler wala,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler wala npm_cg,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler wala npm_cg tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler wala npm_cg acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler wala tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler wala tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler wala acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler npm_cg,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler npm_cg tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler npm_cg tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler npm_cg acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static nativecalls dynamic closure_compiler tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic closure_compiler acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static nativecalls dynamic wala,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic wala npm_cg,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic wala npm_cg tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic wala npm_cg tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic wala npm_cg acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic wala tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic wala tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic wala acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic npm_cg,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic npm_cg tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic npm_cg tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic npm_cg acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static nativecalls dynamic tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls dynamic acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static nativecalls closure_compiler,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler wala,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler wala npm_cg,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler wala npm_cg tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler wala npm_cg tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler wala npm_cg acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler wala tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler wala tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler wala acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler npm_cg,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler npm_cg tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler npm_cg tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler npm_cg acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static nativecalls closure_compiler tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls closure_compiler acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static nativecalls wala,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls wala npm_cg,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls wala npm_cg tajs,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls wala npm_cg tajs acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls wala npm_cg acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls wala tajs,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls wala tajs acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls wala acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls npm_cg,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls npm_cg tajs,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls npm_cg tajs acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls npm_cg acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls tajs,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static nativecalls tajs acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static nativecalls acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static dynamic,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic closure_compiler,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler wala,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler wala npm_cg,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler wala npm_cg tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler wala npm_cg tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler wala npm_cg acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler wala tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler wala tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler wala acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler npm_cg,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler npm_cg tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler npm_cg tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler npm_cg acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler tajs,869,557,216,215,312,654,311,0.6053,0.9954,0.9968,0.9961
static dynamic closure_compiler tajs acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic closure_compiler acg,869,557,190,189,312,680,311,0.5754,0.9947,0.9968,0.9958
static dynamic wala,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic wala npm_cg,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic wala npm_cg tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic wala npm_cg tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic wala npm_cg acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic wala tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic wala tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic wala acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic npm_cg,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic npm_cg tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic npm_cg tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic npm_cg acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic tajs,869,557,240,235,312,629,307,0.6237,0.9792,0.9840,0.9816
static dynamic tajs acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static dynamic acg,869,557,200,198,312,669,310,0.5846,0.9900,0.9936,0.9918
static closure_compiler,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler wala,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler wala npm_cg,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler wala npm_cg tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler wala npm_cg tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler wala npm_cg acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler wala tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler wala tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler wala acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler npm_cg,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler npm_cg tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler npm_cg tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler npm_cg acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler tajs,869,557,277,215,312,593,250,0.5351,0.7762,0.8013,0.7885
static closure_compiler tajs acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static closure_compiler acg,869,557,237,189,312,633,264,0.5213,0.7975,0.8462,0.8211
static wala,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static wala npm_cg,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static wala npm_cg tajs,869,557,324,235,312,545,223,0.5270,0.7253,0.7147,0.7200
static wala npm_cg tajs acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
static wala npm_cg acg,869,557,252,198,312,617,258,0.5247,0.7857,0.8269,0.8058
