Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls dynamic,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler wala,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler wala npm_cg,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler wala npm_cg tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler wala npm_cg acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler wala tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler wala tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler wala acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler npm_cg,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler npm_cg tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler npm_cg tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler npm_cg acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic closure_compiler tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic closure_compiler acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic wala,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic wala npm_cg,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic wala npm_cg tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic wala npm_cg tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic wala npm_cg acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic wala tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic wala tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic wala acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic npm_cg,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic npm_cg tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic npm_cg tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic npm_cg acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static nativecalls dynamic tajs acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls dynamic acg,560,325,100,98,235,460,233,0.5911,0.9800,0.9915,0.9857
static nativecalls closure_compiler,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler wala,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler wala npm_cg,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler wala npm_cg tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler wala npm_cg tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler wala npm_cg acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler wala tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler wala tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler wala acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler npm_cg,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler npm_cg tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler npm_cg tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler npm_cg acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls closure_compiler tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls closure_compiler acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls wala,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls wala npm_cg,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls wala npm_cg tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls wala npm_cg tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls wala npm_cg acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls wala tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls wala tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls wala acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls npm_cg,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls npm_cg tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls npm_cg tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls npm_cg acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls tajs,560,325,171,135,235,389,199,0.5964,0.7895,0.8468,0.8171
static nativecalls tajs acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static nativecalls acg,560,325,117,98,235,443,216,0.5607,0.8376,0.9191,0.8765
static dynamic,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static dynamic closure_compiler,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static dynamic closure_compiler wala,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static dynamic closure_compiler wala npm_cg,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
static dynamic closure_compiler wala npm_cg tajs,560,325,140,135,235,420,230,0.6518,0.9643,0.9787,0.9715
