Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,136,84,80,69,52,56,41,0.8088,0.8625,0.7885,0.8238
static nativecalls,136,84,80,69,52,56,41,0.8088,0.8625,0.7885,0.8238
static nativecalls dynamic,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic closure_compiler,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala npm_cg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala npm_cg tajs,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala npm_cg acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala tajs,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala tajs acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler wala acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler npm_cg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler npm_cg tajs,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler npm_cg tajs acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler npm_cg acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler tajs,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler tajs acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic closure_compiler acg,136,84,69,68,52,68,51,0.8750,0.9855,0.9808,0.9831
static nativecalls dynamic wala,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala npm_cg,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala npm_cg tajs,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala npm_cg tajs acg,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala npm_cg acg,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala tajs,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala tajs acg,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
static nativecalls dynamic wala acg,136,84,75,69,52,61,46,0.8456,0.9200,0.8846,0.9020
