Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls dynamic,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic closure_compiler,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler wala,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler wala npm_cg,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler wala npm_cg tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler wala npm_cg acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler wala tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler wala tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler wala acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler npm_cg,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler npm_cg tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler npm_cg tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler npm_cg acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static nativecalls dynamic closure_compiler tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic closure_compiler acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static nativecalls dynamic wala,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic wala npm_cg,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic wala npm_cg tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic wala npm_cg tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic wala npm_cg acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic wala tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic wala tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic wala acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic npm_cg,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic npm_cg tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic npm_cg tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic npm_cg acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static nativecalls dynamic tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls dynamic acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static nativecalls closure_compiler,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler wala,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler wala npm_cg,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler wala npm_cg tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler wala npm_cg tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler wala npm_cg acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler wala tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler wala tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler wala acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler npm_cg,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler npm_cg tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler npm_cg tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler npm_cg acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static nativecalls closure_compiler tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls closure_compiler acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static nativecalls wala,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls wala npm_cg,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls wala npm_cg tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls wala npm_cg tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls wala npm_cg acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls wala tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls wala tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls wala acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls npm_cg,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls npm_cg tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls npm_cg tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls npm_cg acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static nativecalls tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static nativecalls acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static dynamic,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic closure_compiler,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler wala,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler wala npm_cg,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler wala npm_cg tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler wala npm_cg tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler wala npm_cg acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler wala tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler wala tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler wala acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler npm_cg,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler npm_cg tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler npm_cg tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler npm_cg acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler tajs,533,348,261,260,185,273,184,0.8330,0.9962,0.9946,0.9954
static dynamic closure_compiler tajs acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic closure_compiler acg,533,348,203,202,185,331,184,0.7242,0.9951,0.9946,0.9948
static dynamic wala,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic wala npm_cg,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic wala npm_cg tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic wala npm_cg tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic wala npm_cg acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic wala tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic wala tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic wala acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic npm_cg,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic npm_cg tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic npm_cg tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic npm_cg acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic tajs,533,348,353,347,185,180,179,0.9869,0.9830,0.9676,0.9752
static dynamic tajs acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static dynamic acg,533,348,213,212,185,320,184,0.7430,0.9953,0.9946,0.9949
static closure_compiler,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler wala,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler wala npm_cg,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler wala npm_cg tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler wala npm_cg tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler wala npm_cg acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler wala tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler wala tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler wala acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler npm_cg,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler npm_cg tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler npm_cg tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler npm_cg acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler tajs,533,348,393,266,185,141,58,0.6079,0.6768,0.3135,0.4285
static closure_compiler tajs acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static closure_compiler acg,533,348,305,208,185,229,88,0.5553,0.6820,0.4757,0.5604
static wala,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static wala npm_cg,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static wala npm_cg tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static wala npm_cg tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static wala npm_cg acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static wala tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static wala tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static wala acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static npm_cg,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static npm_cg tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static npm_cg tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static npm_cg acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static tajs,533,348,525,355,185,8,15,0.6942,0.6762,0.0811,0.1448
static tajs acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
static acg,533,348,323,218,185,210,80,0.5591,0.6749,0.4324,0.5271
nativecalls,533,348,533,356,185,0,8,0.6829,0.6679,0.0432,0.0812
nativecalls dynamic,533,348,354,348,185,179,179,0.9887,0.9831,0.9676,0.9752
nativecalls dynamic closure_compiler,533,348,262,261,185,272,184,0.8349,0.9962,0.9946,0.9954
nativecalls dynamic closure_compiler wala,533,348,262,261,185,272,184,0.8349,0.9962,0.9946,0.9954
nativecalls dynamic closure_compiler wala npm_cg,533,348,262,261,185,272,184,0.8349,0.9962,0.9946,0.9954
