Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls dynamic,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler wala,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler wala npm_cg,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler wala npm_cg tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler wala npm_cg acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler wala tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler wala tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler wala acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler npm_cg,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler npm_cg tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler npm_cg tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler npm_cg acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic closure_compiler tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic closure_compiler acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic wala,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic wala npm_cg,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic wala npm_cg tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic wala npm_cg tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic wala npm_cg acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic wala tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic wala tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic wala acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic npm_cg,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic npm_cg tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic npm_cg tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic npm_cg acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic tajs,19,6,11,5,13,8,7,0.6316,0.4545,0.5385,0.4930
static nativecalls dynamic tajs acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls dynamic acg,19,6,6,5,13,13,12,0.8947,0.8333,0.9231,0.8759
static nativecalls closure_compiler,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls closure_compiler wala,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls closure_compiler wala npm_cg,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls closure_compiler wala npm_cg tajs,19,6,12,5,13,7,6,0.5789,0.4167,0.4615,0.4380
static nativecalls closure_compiler wala npm_cg tajs acg,19,6,7,5,13,12,11,0.8421,0.7143,0.8462,0.7746
static nativecalls closure_compiler wala npm_cg acg,19,6,7,5,13,12,11,0.8421,0.7143,0.8462,0.7746
