Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,229,108,193,106,121,36,34,0.6114,0.5492,0.2810,0.3718
static nativecalls,229,108,192,105,121,37,34,0.6070,0.5469,0.2810,0.3712
static nativecalls dynamic,229,108,111,105,121,118,115,0.9607,0.9459,0.9504,0.9482
static nativecalls dynamic closure_compiler,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler wala,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler wala npm_cg,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler wala npm_cg tajs,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler wala npm_cg acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler wala tajs,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler wala tajs acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler wala acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler npm_cg,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler npm_cg tajs,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler npm_cg tajs acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler npm_cg acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler tajs,229,108,100,99,121,129,120,0.9563,0.9900,0.9917,0.9909
static nativecalls dynamic closure_compiler tajs acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic closure_compiler acg,229,108,40,39,121,189,120,0.6943,0.9750,0.9917,0.9833
static nativecalls dynamic wala,229,108,111,105,121,118,115,0.9607,0.9459,0.9504,0.9482
static nativecalls dynamic wala npm_cg,229,108,111,105,121,118,115,0.9607,0.9459,0.9504,0.9482
static nativecalls dynamic wala npm_cg tajs,229,108,111,105,121,118,115,0.9607,0.9459,0.9504,0.9482
static nativecalls dynamic wala npm_cg tajs acg,229,108,42,41,121,187,120,0.7031,0.9762,0.9917,0.9839
static nativecalls dynamic wala npm_cg acg,229,108,42,41,121,187,120,0.7031,0.9762,0.9917,0.9839
static nativecalls dynamic wala tajs,229,108,111,105,121,118,115,0.9607,0.9459,0.9504,0.9482
static nativecalls dynamic wala tajs acg,229,108,42,41,121,187,120,0.7031,0.9762,0.9917,0.9839
static nativecalls dynamic wala acg,229,108,42,41,121,187,120,0.7031,0.9762,0.9917,0.9839
