Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static nativecalls,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static nativecalls dynamic,932,501,162,158,431,770,427,0.6277,0.9753,0.9907,0.9830
static nativecalls dynamic closure_compiler,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler wala,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler wala npm_cg,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler wala npm_cg tajs,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler wala npm_cg acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler wala tajs,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler wala tajs acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler wala acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler npm_cg,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler npm_cg tajs,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler npm_cg tajs acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler npm_cg acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler tajs,932,501,128,127,431,805,430,0.5976,0.9922,0.9977,0.9949
static nativecalls dynamic closure_compiler tajs acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic closure_compiler acg,932,501,100,99,431,833,430,0.5676,0.9900,0.9977,0.9938
static nativecalls dynamic wala,932,501,162,158,431,770,427,0.6277,0.9753,0.9907,0.9830
static nativecalls dynamic wala npm_cg,932,501,162,158,431,770,427,0.6277,0.9753,0.9907,0.9830
static nativecalls dynamic wala npm_cg tajs,932,501,162,158,431,770,427,0.6277,0.9753,0.9907,0.9830
static nativecalls dynamic wala npm_cg tajs acg,932,501,115,114,431,817,430,0.5837,0.9913,0.9977,0.9945
static nativecalls dynamic wala npm_cg acg,932,501,115,114,431,817,430,0.5837,0.9913,0.9977,0.9945
static nativecalls dynamic wala tajs,932,501,162,158,431,770,427,0.6277,0.9753,0.9907,0.9830
