Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,867,462,302,192,405,565,295,0.5617,0.6358,0.7284,0.6789
static nativecalls,867,462,302,192,405,565,295,0.5617,0.6358,0.7284,0.6789
static nativecalls dynamic,867,462,221,192,405,646,376,0.6551,0.8688,0.9284,0.8976
static nativecalls dynamic closure_compiler,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler wala,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler wala npm_cg,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler wala npm_cg tajs,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler wala npm_cg acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler wala tajs,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler wala tajs acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler wala acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler npm_cg,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler npm_cg tajs,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler npm_cg tajs acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler npm_cg acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler tajs,867,462,217,192,405,652,380,0.6597,0.8848,0.9383,0.9107
static nativecalls dynamic closure_compiler tajs acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic closure_compiler acg,867,462,171,148,405,698,382,0.6113,0.8655,0.9432,0.9027
static nativecalls dynamic wala,867,462,221,192,405,646,376,0.6551,0.8688,0.9284,0.8976
static nativecalls dynamic wala npm_cg,867,462,221,192,405,646,376,0.6551,0.8688,0.9284,0.8976
