Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,2033,1007,1438,761,1026,595,349,0.5460,0.5292,0.3402,0.4141
static nativecalls,2033,1007,1438,761,1026,595,349,0.5460,0.5292,0.3402,0.4141
static nativecalls dynamic,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala npm_cg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala npm_cg tajs,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala npm_cg acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala tajs,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala tajs acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler wala acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler npm_cg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler npm_cg tajs,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler npm_cg tajs acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler npm_cg acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler tajs,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler tajs acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic closure_compiler acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic wala,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic wala npm_cg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic wala npm_cg tajs,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
static nativecalls dynamic wala npm_cg tajs acg,2033,1007,1074,726,1026,959,678,0.6906,0.6760,0.6608,0.6683
