Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls dynamic,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler wala,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler wala npm_cg,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler wala npm_cg tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler wala npm_cg acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler wala tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler wala tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler wala acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler npm_cg,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler npm_cg tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler npm_cg tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler npm_cg acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic closure_compiler tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic closure_compiler acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic wala,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic wala npm_cg,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic wala npm_cg tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic wala npm_cg tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic wala npm_cg acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic wala tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic wala tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic wala acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic npm_cg,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic npm_cg tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic npm_cg tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic npm_cg acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic tajs,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static nativecalls dynamic tajs acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls dynamic acg,1848,904,450,359,944,1398,853,0.6558,0.7978,0.9036,0.8474
static nativecalls closure_compiler,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler wala,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler wala npm_cg,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler wala npm_cg tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler wala npm_cg tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler wala npm_cg acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler wala tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler wala tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler wala acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler npm_cg,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler npm_cg tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler npm_cg tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler npm_cg acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls closure_compiler tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls closure_compiler acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls wala,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls wala npm_cg,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls wala npm_cg tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls wala npm_cg tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls wala npm_cg acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls wala tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls wala tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls wala acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls npm_cg,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls npm_cg tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls npm_cg tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls npm_cg acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls tajs,1848,904,1263,665,944,585,346,0.5471,0.5265,0.3665,0.4322
static nativecalls tajs acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static nativecalls acg,1848,904,677,390,944,1171,657,0.5666,0.5761,0.6960,0.6304
static dynamic,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
static dynamic closure_compiler,1848,904,977,630,944,871,597,0.6640,0.6448,0.6324,0.6386
