Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls dynamic,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler wala,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler wala npm_cg,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler wala npm_cg tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler wala npm_cg acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler wala tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler wala tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler wala acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler npm_cg,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler npm_cg tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler npm_cg tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler npm_cg acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic closure_compiler tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic closure_compiler acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic wala,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic wala npm_cg,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic wala npm_cg tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic wala npm_cg tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic wala npm_cg acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic wala tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic wala tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic wala acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic npm_cg,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic npm_cg tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic npm_cg tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic npm_cg acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic tajs,342,170,91,84,172,251,165,0.7281,0.9231,0.9593,0.9408
static nativecalls dynamic tajs acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls dynamic acg,342,170,50,48,172,292,170,0.6374,0.9600,0.9884,0.9740
static nativecalls closure_compiler,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler wala,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler wala npm_cg,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler wala npm_cg tajs,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler wala npm_cg tajs acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
static nativecalls closure_compiler wala npm_cg acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
static nativecalls closure_compiler wala tajs,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler wala tajs acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
static nativecalls closure_compiler wala acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
static nativecalls closure_compiler npm_cg,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler npm_cg tajs,342,170,152,84,172,190,104,0.5497,0.5526,0.6047,0.5775
static nativecalls closure_compiler npm_cg tajs acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
static nativecalls closure_compiler npm_cg acg,342,170,67,48,172,275,153,0.5877,0.7164,0.8895,0.7936
