Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls dynamic,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler wala,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler wala npm_cg,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler wala npm_cg tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler wala npm_cg acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler wala tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler wala tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler wala acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler npm_cg,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler npm_cg tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler npm_cg tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler npm_cg acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic closure_compiler tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic closure_compiler acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic wala,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic wala npm_cg,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic wala npm_cg tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic wala npm_cg tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic wala npm_cg acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic wala tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic wala tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic wala acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic npm_cg,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic npm_cg tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic npm_cg tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic npm_cg acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic tajs,128,48,34,27,80,94,73,0.7813,0.7941,0.9125,0.8492
static nativecalls dynamic tajs acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls dynamic acg,128,48,27,25,80,101,78,0.8047,0.9259,0.9750,0.9498
static nativecalls closure_compiler,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler wala,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler wala npm_cg,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler wala npm_cg tajs,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler wala npm_cg tajs acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler wala npm_cg acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler wala tajs,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler wala tajs acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler wala acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler npm_cg,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler npm_cg tajs,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
static nativecalls closure_compiler npm_cg tajs acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler npm_cg acg,128,48,36,25,80,92,69,0.7344,0.6944,0.8625,0.7694
static nativecalls closure_compiler tajs,128,48,45,27,80,83,62,0.6953,0.6000,0.7750,0.6764
