Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static nativecalls,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static nativecalls dynamic,999,754,328,327,245,671,244,0.5716,0.9970,0.9959,0.9964
static nativecalls dynamic closure_compiler,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler wala,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler wala npm_cg,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler wala npm_cg tajs,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler wala npm_cg acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler wala tajs,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler wala tajs acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler wala acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler npm_cg,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler npm_cg tajs,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler npm_cg tajs acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler npm_cg acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler tajs,999,754,287,286,245,713,244,0.5305,0.9965,0.9959,0.9962
static nativecalls dynamic closure_compiler tajs acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic closure_compiler acg,999,754,240,239,245,760,244,0.4835,0.9958,0.9959,0.9959
static nativecalls dynamic wala,999,754,328,327,245,671,244,0.5716,0.9970,0.9959,0.9964
static nativecalls dynamic wala npm_cg,999,754,328,327,245,671,244,0.5716,0.9970,0.9959,0.9964
static nativecalls dynamic wala npm_cg tajs,999,754,328,327,245,671,244,0.5716,0.9970,0.9959,0.9964
static nativecalls dynamic wala npm_cg tajs acg,999,754,254,253,245,745,244,0.4975,0.9961,0.9959,0.9960
