Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls dynamic,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler wala,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler wala npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler wala npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler wala npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler wala tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler wala tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler wala acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic closure_compiler tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic closure_compiler acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic wala,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic wala npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic wala npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic wala npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic wala npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic wala tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic wala tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic wala acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static nativecalls dynamic tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls dynamic acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static nativecalls closure_compiler,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler wala,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler wala npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler wala npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler wala npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler wala npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler wala tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler wala tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler wala acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls closure_compiler tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls closure_compiler acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls wala,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls wala npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls wala npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls wala npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls wala npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls wala tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls wala tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls wala acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static nativecalls tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static nativecalls acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static dynamic,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler wala,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler wala npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler wala npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler wala npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler wala npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler wala tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler wala tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler wala acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic closure_compiler tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic closure_compiler acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic wala,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic wala npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic wala npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic wala npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic wala npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic wala tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic wala tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic wala acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic npm_cg,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic npm_cg tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic npm_cg tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic npm_cg acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic tajs,130,51,35,28,79,95,72,0.7692,0.8000,0.9114,0.8521
static dynamic tajs acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static dynamic acg,130,51,28,26,79,102,77,0.7923,0.9286,0.9747,0.9511
static closure_compiler,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler wala,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler wala npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler wala npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler wala npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler wala npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler wala tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler wala tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler wala acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static closure_compiler tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static closure_compiler acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static wala,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static wala npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static wala npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static wala npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static wala npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static wala tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static wala tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static wala acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static npm_cg,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static npm_cg tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static npm_cg tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static npm_cg acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static tajs,130,51,46,28,79,84,61,0.6846,0.6087,0.7722,0.6807
static tajs acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
static acg,130,51,37,26,79,93,68,0.7231,0.7027,0.8608,0.7737
