Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1440,831,678,607,609,762,538,0.7951,0.8953,0.8834,0.8893
static nativecalls,1440,831,678,607,609,762,538,0.7951,0.8953,0.8834,0.8893
static nativecalls dynamic,1440,831,468,464,609,972,605,0.7424,0.9915,0.9934,0.9924
static nativecalls dynamic closure_compiler,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler wala,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler wala npm_cg,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler wala npm_cg tajs,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler wala npm_cg acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler wala tajs,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler wala tajs acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler wala acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler npm_cg,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler npm_cg tajs,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler npm_cg tajs acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler npm_cg acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler tajs,1440,831,397,395,609,1044,607,0.6958,0.9950,0.9967,0.9958
static nativecalls dynamic closure_compiler tajs acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic closure_compiler acg,1440,831,344,342,609,1097,607,0.6590,0.9942,0.9967,0.9954
static nativecalls dynamic wala,1440,831,468,464,609,972,605,0.7424,0.9915,0.9934,0.9924
