Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1243,779,431,347,464,812,380,0.5849,0.8051,0.8190,0.8120
static nativecalls,1243,779,431,347,464,812,380,0.5849,0.8051,0.8190,0.8120
static nativecalls dynamic,1243,779,369,332,464,874,427,0.6106,0.8997,0.9203,0.9099
static nativecalls dynamic closure_compiler,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler wala,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler wala npm_cg,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler wala npm_cg tajs,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler wala npm_cg acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler wala tajs,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler wala tajs acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler wala acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler npm_cg,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler npm_cg tajs,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler npm_cg tajs acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler npm_cg acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
static nativecalls dynamic closure_compiler tajs,1243,779,332,305,464,912,437,0.5969,0.9187,0.9418,0.9301
static nativecalls dynamic closure_compiler tajs acg,1243,779,284,261,464,960,441,0.5648,0.9190,0.9504,0.9345
