Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,80,11,37,7,69,43,39,0.5750,0.1892,0.5652,0.2835
static nativecalls,80,11,37,7,69,43,39,0.5750,0.1892,0.5652,0.2835
static nativecalls dynamic,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler wala,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler wala npm_cg,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler wala npm_cg tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler wala npm_cg acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler wala tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler wala tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler wala acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler npm_cg,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler npm_cg tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler npm_cg tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler npm_cg acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic closure_compiler tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic closure_compiler acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic wala,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic wala npm_cg,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic wala npm_cg tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic wala npm_cg tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic wala npm_cg acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic wala tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic wala tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic wala acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic npm_cg,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic npm_cg tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic npm_cg tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic npm_cg acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
static nativecalls dynamic tajs,80,11,33,7,69,47,43,0.6250,0.2121,0.6232,0.3165
static nativecalls dynamic tajs acg,80,11,23,7,69,57,53,0.7500,0.3043,0.7681,0.4360
