Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,622,270,278,162,352,344,236,0.6399,0.5827,0.6705,0.6235
static nativecalls,622,270,278,162,352,344,236,0.6399,0.5827,0.6705,0.6235
static nativecalls dynamic,622,270,204,162,352,418,310,0.7588,0.7941,0.8807,0.8352
static nativecalls dynamic closure_compiler,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala npm_cg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala npm_cg tajs,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala npm_cg tajs acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala npm_cg acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala tajs,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala tajs acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler wala acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler npm_cg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler npm_cg tajs,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler npm_cg tajs acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler npm_cg acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler tajs,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler tajs acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic closure_compiler acg,622,270,173,142,352,450,321,0.7444,0.8208,0.9119,0.8640
static nativecalls dynamic wala,622,270,204,162,352,418,310,0.7588,0.7941,0.8807,0.8352
